Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,POR,LaRue Martin,Loyola University of Chicago,4,271,3795,1430,1258,203,.416,,.685,14.0,5.3,4.6,0.7,1.9,.024,-4.6,-1.9
2,2,BUF,Bob McAdoo,University of North Carolina,14,852,28327,18787,8048,1951,.503,.081,.754,33.2,22.1,9.4,2.3,89.1,.151,2.1,26.5
3,3,CLE,Dwight Davis,University of Houston,5,340,8010,2936,1991,529,.423,,.730,23.6,8.6,5.9,1.6,11.4,.068,-1.2,1.1
4,4,PHO,Corky Calhoun,University of Pennsylvania,8,542,10901,2896,1962,601,.460,,.782,20.1,5.3,3.6,1.1,14.4,.064,-2.1,-0.2
5,5,PHI,Freddie Boyd,Oregon State University,6,327,7723,2784,533,986,.414,,.667,23.6,8.5,1.6,3.0,1.4,.009,-4.8,-3.8
6,6,MIL,Russ Lee,Marshall University,3,97,582,282,114,65,.391,,.685,6.0,2.9,1.2,0.7,0.5,.038,-2.9,-0.1
7,7,SEA,Bud Stallworth,University of Kansas,5,313,5489,2403,861,213,.414,,.686,17.5,7.7,2.8,0.7,0.7,.006,-6.2,-4.5
8,8,NYK,Tom Riker,University of South Carolina,3,82,605,225,138,24,.380,,.593,7.4,2.7,1.7,0.3,0.4,.033,-5.7,-0.5
9,9,DET,Bob Nash,University of Hawaii,4,219,2557,1036,483,147,.435,,.730,11.7,4.7,2.2,0.7,2.6,.048,-3.1,-0.7
10,10,BOS,Paul Westphal,University of Southern California,12,823,20947,12809,1580,3591,.504,.275,.820,25.5,15.6,1.9,4.4,67.7,.155,1.5,18.0
